Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Palak Paneer,Vegetarian,"Spinach, Paneer, Spices,290",12,14,22,12,Yes
Green Chili Chutney,veg,"Green chili, garlic, lemon, salt",20,0.8,3,0.1,Yes
Mint Chutney,veg,"Mint leaves, coriander, green chili, lemon, salt",25,1,5,0.3,Yes
Green Chilli Salad,Veg,"Green chilli, Lemon, Salt",30,1,6,0,Yes
Coriander Chutney,veg,"Coriander leaves, green chili, lemon, ginger",30,1.5,6,0.4,Yes
Radish Chutney,veg,"Radish, green chili, coriander, ginger",35,1.2,6,0.2,Yes
Lauki Chutney,veg,"Bottle gourd, chili, tamarind, garlic",35,1,7,0.2,Yes
Tomato Salad,Veg,"Tomato, Lemon, Black salt",40,1,9,0,Yes
Tomato Chutney,veg,"Tomato, onion, garlic, red chili, oil",40,1,6,2,Yes
Gooseberry (Amla) Chutney,veg,"Amla, green chili, coriander, salt",40,1,7,0.5,Yes
Cabbage Chutney,veg,"Cabbage, tamarind, chili, garlic",40,1,6,0.5,Yes
Pudina-Curd Chutney,veg,"Mint, curd, green chili, cumin",40,2,5,1,Yes
Cucumber Salad,Veg,"Cucumber, Lemon, Salt",45,1,10,0,Yes
Coconut Water,Veg,Coconut water,45,1,9,0,Yes
Curry Leaves Chutney,veg,"Curry leaves, tamarind, red chili, garlic",45,2,6,1.5,Yes
Spinach Chutney,veg,"Spinach, green chili, tamarind, garlic",45,2,8,0.5,Yes
Onion Salad,Veg,"Onion slices, Lemon, Salt",50,1,12,0,Yes
Mint Chutney,Veg,"Mint, Coriander, Green chilli, Lemon",50,1,8,1,Yes
Ginger Chutney,veg,"Ginger, tamarind, jaggery, red chili",50,1,8,1,Yes
Raw Mango Chutney,veg,"Raw mango, green chili, jaggery, coriander",50,1,11,0.3,Yes
Capsicum Chutney,veg,"Capsicum, onion, tamarind, chili",50,1,8,1,Yes
Onion Chutney,veg,"Onion, tamarind, red chili, garlic",55,1.2,8,2,Yes
Carrot Chutney,veg,"Carrot, coconut, red chili, tamarind",55,1,9,1,Yes
Bitter Gourd Chutney,veg,"Bitter gourd, onion, chili, tamarind",55,1,9,0.8,Yes
Carrot Salad,Veg,"Carrot, Lemon, Green chilli",60,1,14,0,Yes
Onion Chutney,Veg,"Onion, Tamarind, Red chilli",60,2,12,2,Yes
Beetroot Chutney,veg,"Beetroot, coconut, chili, tamarind",60,1.5,10,1.5,Yes
Drumstick Leaves Chutney,veg,"Moringa leaves, tamarind, chili, garlic",60,3,8,1,Yes
Pumpkin Chutney,veg,"Pumpkin, tamarind, red chili, garlic",60,1,10,1,Yes
Fulka,Veg,"Whole wheat flour, water, salt",65,2.8,14,0.3,Yes
Tamarind Chutney,veg,"Tamarind pulp, jaggery, spices",65,0.5,16,0.2,Yes
Chaas (Buttermilk),Veg,"Curd, Water, Salt, Jeera",70,4,8,2,Yes
Jaljeera,Veg,"Cumin, Tamarind, Lemon, Black salt",70,1,12,0,Yes
Tamarind Chutney,Veg,"Tamarind, Jaggery, Spices",70,1,16,0,Yes
Jaljeera,Veg,"Cumin, Tamarind, Lemon, Black salt",70,1,12,0,Yes
Sesame Chutney,veg,"Sesame seeds, tamarind, red chili, garlic",70,2,4,5,Yes
Pineapple Chutney,veg,"Pineapple, chili, mustard seeds, jaggery",70,0.5,16,0.2,Yes
Roti,veg,"Whole wheat flour, water, salt",70,2.5,15,0.5,Yes
Chapati,Veg,"Whole wheat flour, water, salt",71,3,15,0.4,Yes
Ajwain Chapati,Veg,"Whole wheat flour, ajwain, water, salt",73,3.1,15,0.5,Yes
Spinach Chapati,Veg,"Whole wheat flour, spinach puree, water, salt",75,3.2,15,0.5,Yes
Phulka,veg,"Whole wheat flour, water, salt",75,2.5,16,0.4,Yes
Beetroot Chapati,Veg,"Whole wheat flour, beetroot puree, water, salt",76,3.1,15,0.5,Yes
Methi Chapati,Veg,"Whole wheat flour, fenugreek leaves, water, salt",78,3.4,15,0.6,Yes
Garlic Chapati,Veg,"Whole wheat flour, garlic, water, salt",78,3.2,15,0.6,Yes
Multigrain Chapati,Veg,"Whole wheat flour, millet flour, barley flour, oats, water, salt",80,3.5,16,1,Yes
Beetroot Salad,Veg,"Beetroot, Lemon, Salt",80,2,16,0,Yes
Mixed Vegetable Salad,Veg,"Cucumber, Onion, Tomato, Carrot",80,2,15,1,Yes
Coconut Chutney,Veg,"Coconut, Green chilli, Curry leaves",80,2,10,4,Yes
Garlic Chutney,Veg,"Garlic, Red chilli, Oil",80,2,6,3,Yes
Coconut Chutney,veg,"Fresh coconut, roasted chana dal, green chili, curry leaves",80,2,6,6,Yes
Mosambi Juice,Veg,"Mosambi, Water, Sugar (optional)",85,0,20,0,Yes
Horse Gram Chutney,veg,"Horse gram, tamarind, garlic, chili",85,5,10,2,Yes
Tomato Rasam,vegan,"tomato, tamarind, mustard seeds",88.5,2.1,10.3,3.4,Yes
Tomato Chutney,vegan,"tomato, garlic, mustard",88.6,1.1,6.3,6.4,Yes
Ragi Roti,Veg,"Ragi flour, water, salt",89,2.3,19,1,Yes
Orange Juice,Veg,"Orange, Water, Sugar (optional)",90,1,20,0,Yes
Peanut Chutney,veg,"Roasted peanuts, garlic, tamarind, green chili",90,4,6,6,Yes
Apple Chutney,veg,"Apple, sugar, vinegar, spices",90,0.5,20,0.2,No
Tandoori Roti,veg,"Whole wheat flour, yogurt, salt",90,3,18,1,Yes
Rumali Roti,veg,"Maida, milk, salt, oil",90,2.5,18,1.5,No
Sago Papad (Sabudana),veg,"Sabudana, salt, cumin",90,1,20,0,Yes
Flaxseed Chutney,veg,"Flaxseeds, garlic, chili, tamarind",95,4,8,6,Yes
Moong Dal Papad,veg,"Moong dal flour, spices, salt",95,6,11,1,Yes
Rice Papad,veg,"Rice flour, chili, salt",95,2,21,0,Yes
Jowar Papad,veg,"Jowar flour, chili, salt",95,3,21,0.5,Yes
Jowar Roti,Veg,"Jowar flour, water, salt",96,2.7,22,1.5,Yes
Bajra Roti,Veg,"Bajra flour, water, salt",97,2.6,21,1.2,Yes
Rasam,vegan,"tamarind, tomato, mustard seeds",98.2,1.4,10.6,3.5,Yes
Rasam,Vegan,"Tamarind, Tomato, Pepper, Curry leaves",100,3,18,2,Yes
Filter Coffee,Veg,"Coffee, Milk, Sugar",100,2,16,2,Yes
Pineapple Juice,Veg,"Pineapple, Sugar (optional)",100,1,24,0,Yes
Onion Pickle,Veg,"Onion, Vinegar, Spices",100,1,8,6,Yes
Kokum Sharbat,Veg,"Kokum, Sugar, Cumin",100,1,22,0,Yes
Bel Sharbat,Veg,"Bel fruit, Jaggery, Water",100,1,24,0,Yes
Dal Makhani,veg,"Sabut Urad dal,oil,Ginger, Garlic",100,0,0,0,Yes
Jowar Roti,veg,"Jowar flour, water, salt",100,2.5,22,1,Yes
Urad Dal Papad,veg,"Urad dal flour, black pepper, salt",100,6,12,1,Yes
Jeera Papad,veg,"Urad dal flour, cumin seeds, salt",100,6,12,1,Yes
Ragi Papad,veg,"Ragi flour, spices, salt",100,3,22,0.5,Yes
Bajra Papad,veg,"Bajra flour, chili, salt",100,3,20,1,Yes
Lemon Rasam,vegan,"lemon, tomato, tamarind",104.3,1.2,11.7,3.9,Yes
Chana Dal Papad,veg,"Chana dal flour, chili, salt",105,6,13,1,Yes
Ajwain Papad,veg,"Urad dal flour, ajwain, salt",105,6,13,1,Yes
Missi Roti,Veg,"Whole wheat flour, gram flour, spices, water",110,4,18,3,Yes
Aam Panna,Veg,"Raw mango, Jaggery, Spices",110,1,25,0,Yes
Apple Juice,Veg,"Apple, Water, Sugar (optional)",110,0,28,0,Yes
Beetroot Pickle,Veg,"Beetroot, Vinegar, Spices",110,2,10,5,Yes
Sol Kadhi,Veg,"Kokum, Coconut milk, Spices",110,2,14,3,Yes
Dry Garlic Chutney,veg,"Dry coconut, garlic, red chili, peanuts",110,3,6,8,Yes
Bajra Roti,veg,"Bajra flour, water, salt",110,3,23,1.5,Yes
Black Pepper Papad,veg,"Urad dal flour, black pepper, salt",110,6,13,1,Yes
Multigrain Papad,veg,"Mix of lentils, spices, salt",110,6,14,1,Yes
South Indian Appalam,veg,"Urad dal flour, cumin, black pepper",110,6,14,1,Yes
Chicken Clear Soup,nonveg,"chicken, spring onion, garlic",112.3,10.5,3.2,4.6,Yes
Garlic Papad,veg,"Urad dal flour, garlic, chili, salt",115,6,12,2,Yes
Palak Papad,veg,"Urad dal flour, spinach, chili",115,6,14,2,Yes
Methi Papad,veg,"Urad dal flour, fenugreek leaves, chili",115,6,14,2,Yes
Tomato Papad,veg,"Urad dal flour, tomato powder, spices",115,5,15,2,No
Makki Roti,Veg,"Cornmeal, water, salt",120,3,25,1.8,Yes
Kosambari,Veg,"Moong dal, Cucumber, Coconut",120,5,16,3,Yes
Sprout Salad,Veg,"Moong sprouts, Onion, Tomato, Lemon",120,9,22,1,Yes
Lemon Pickle,Veg,"Lemon, Oil, Spices",120,1,6,8,Yes
Masala Chai,Veg,"Tea leaves, Milk, Sugar, Spices",120,3,18,4,Yes
Lassi (Salted),Veg,"Curd, Salt, Jeera",120,6,10,3,Yes
Green Chilli Pickle,Veg,"Green chilli, Mustard, Oil",120,2,6,8,Yes
Carrot Pickle,Veg,"Carrot, Mustard, Oil",120,2,10,8,Yes
Sattu Drink,Veg,"Sattu, Water, Lemon, Salt",120,7,20,2,Yes
Date Chutney,veg,"Dates, tamarind, jaggery, cumin",120,1.5,28,0.3,Yes
Missi Roti,veg,"Gram flour, wheat flour, ajwain, spices",120,4,20,3,Yes
Ragi Roti,veg,"Ragi flour, onion, chili, coriander",120,3,24,2,Yes
Green Chili Papad,veg,"Urad dal flour, green chili, salt",120,6,13,2,Yes
Red Chili Papad,veg,"Urad dal flour, red chili powder, salt",120,6,14,2,Yes
Potato Papad,veg,"Potato, rice flour, salt",120,2,26,1,Yes
Onion Papad,veg,"Urad dal flour, onion flakes, chili",120,5,14,2,No
Punjabi Papad,veg,"Urad dal flour, black pepper, hing, chili",120,6,15,2,Yes
Beetroot Poriyal,vegan,"beetroot, coconut, mustard",128.4,2.6,11.4,6.2,Yes
Chilli Pickle,Veg,"Green chilli, Mustard oil, Spices",130,2,8,9,Yes
Turnip Pickle,Veg,"Turnip, Mustard, Oil, Spices",130,2,12,7,Yes
Sweet Potato Papad,veg,"Sweet potato, rice flour, chili, salt",130,2,28,1,Yes
Gujarati Chorafali Papad,veg,"Chana dal flour, urad flour, spices",130,7,16,2,Yes
Cabbage Poriyal,vegan,"cabbage, coconut, mustard seeds",132.1,2.9,11.5,7.2,Yes
Karela Fry,vegan,"bitter gourd, turmeric, onion",134.2,2.4,11.6,7.5,Yes
Tinda Curry,vegan,"apple gourd, onion, tomato",139.5,2.8,12.5,7.3,Yes
Ginger Pickle,Veg,"Ginger, Oil, Tamarind, Spices",140,2,8,9,Yes
Beetroot Poriyal,vegan,"beetroot, coconut, mustard seeds",142.7,2.4,11.8,7.9,Yes
Parwal Bhujia,vegan,"pointed gourd, mustard seeds",142.7,2.9,11.8,7.4,Yes
Baingan Bharta,vegan,"roasted brinjal, onion, tomato",145.4,3.2,14.7,7.1,Yes
Cabbage Thoran,vegan,"cabbage, coconut, mustard",149.2,3.1,13.5,7.1,Yes
Kaddu ki Sabzi,vegan,"pumpkin, fenugreek seeds",149.3,2.6,14.4,8.1,Yes
Tandoori Roti,Veg,"Wheat flour, Salt, Yeast",150,5,28,2,Yes
Mango Pickle,Veg,"Raw mango, Oil, Spices",150,2,8,12,Yes
Petha,Veg,"Ash gourd, Sugar, Cardamom",150,1,36,0,Yes
Rose Sharbat,Veg,"Rose petals, Sugar, Water",150,1,34,0,Yes
Palm Wine (Toddy),Nonveg,"Palm sap, Fermentation",150,1,30,0,No
Makki di Roti,veg,"Corn flour, water, ghee",150,3,30,4,Yes
Masala Papad,veg,"Urad papad, onion, tomato, chili, masala",150,5,18,4,No
Bhindi Masala,vegan,"okra, tomato, mustard seeds",153.6,2.9,11.7,10.2,Yes
Chicken Soup,nonveg,"chicken, carrot, onion, herbs",155.6,15.2,6.1,6.4,Yes
Masala Tinda,vegan,"apple gourd, mustard, chili",158.6,3.1,12.9,8.6,Yes
Roomali Roti,Veg,"Maida, Salt, Water",160,5,32,2,Yes
Mixed Vegetable Pickle,Veg,"Carrot, Cauliflower, Turnip, Oil, Spices",160,2,10,12,Yes
Rooh Afza Sharbat,Veg,"Herbs, Rose, Sugar, Water",160,1,40,0,No
Besan Roti,veg,"Gram flour, wheat flour, chili, ajwain",160,6,24,5,Yes
Chicken Shorba,nonveg,"chicken, broth, spices",160.5,14.9,4.1,8.7,Yes
Cauliflower Upma,vegan,"cauliflower, mustard, spices",160.9,5.8,24.6,3,Yes
Vazhaipoo Poriyal,vegan,"banana flower, coconut, mustard",165.6,3.4,12.3,8.1,Yes
Neer Dosa,vegan,"rice flour, coconut, salt",165.7,2.2,18.4,8.2,Yes
Aloo Gajar Matar,vegan,"potato, carrot, peas",167.6,4.8,19.9,7.5,Yes
Oats Vegetable Upma,vegan,"oats, carrot, beans, mustard",169.4,7.2,26.3,3.2,Yes
Palak Dhokla,veg,"spinach, besan, ginger, green chili",169.8,7.4,25.6,4.2,Yes
Garlic Pickle,Veg,"Garlic, Oil, Spices",170,3,12,10,Yes
Ajwain Paratha,veg,"Wheat flour, ajwain, ghee",170,4,26,6,No
Lettuce Upma,vegan,"lettuce, rava, spices",170.6,6,25.7,3.1,Yes
Ash Gourd Upma,vegan,"ash gourd, rava, spices",170.8,6,25.8,3.2,Yes
Kohlrabi Upma,vegan,"knol-khol, rava, spices",171.5,6.1,25.9,3.2,Yes
Snake Gourd Upma,vegan,"snake gourd, rava, mustard",172.3,6,26.1,3.3,Yes
Celery Upma,vegan,"celery, semolina, mustard",172.9,6.1,26,3.2,Yes
Ridge Gourd Upma,vegan,"ridge gourd, semolina, chili",173.4,6.2,26.4,3.4,Yes
Cucumber Upma,vegan,"cucumber, rava, green chili",173.6,6.3,26.2,3.3,Yes
Coriander Upma,vegan,"coriander, rava, chili",173.8,6.2,26.3,3.3,Yes
Mint Upma,vegan,"pudina, semolina, mustard",174.1,6.3,26.5,3.4,Yes
Cabbage Upma,vegan,"cabbage, mustard, semolina",174.2,6,26.4,3.5,Yes
Quinoa Dhokla,vegan,"quinoa, besan, mustard seeds",174.5,6.9,25.7,4,Yes
Raw Papaya Upma,vegan,"raw papaya, semolina, mustard",174.5,6.3,26.5,3.4,Yes
Leek Upma,vegan,"leek, rava, green chili",174.6,6.3,26.6,3.4,Yes
Water Spinach Upma,vegan,"kalmi saag, rava, mustard",174.7,6.3,26.6,3.3,Yes
Oats Dhokla,veg,"oats, curd, mustard seeds",174.8,6.7,26.1,4.1,Yes
Turnip Upma,vegan,"turnip, rava, mustard",174.9,6.2,26.7,3.4,Yes
Tinda Upma,vegan,"apple gourd, rava, chili",175.1,6.1,26.8,3.5,Yes
Zucchini Upma,vegan,"zucchini, semolina, mustard",175.3,6.2,27.9,3.8,Yes
Curry Leaves Upma,vegan,"curry leaves, semolina, mustard",175.4,6.3,26.9,3.4,Yes
Amaranth Upma,vegan,"amaranth leaves, semolina, chili",175.6,6.4,26.8,3.4,Yes
Radish Upma,vegan,"radish, semolina, mustard",175.8,6.2,26.9,3.4,Yes
Lemon Dhokla,veg,"lemon zest, besan, mustard",176.2,6.3,26.9,4,Yes
Mustard Greens Upma,vegan,"sarson, semolina, chili",176.2,6.5,27.1,3.5,Yes
Palak Kadhi,veg,"spinach, yogurt, besan",176.2,6.9,13.2,9.8,Yes
Quinoa Upma,vegan,"quinoa, veggies, green chili",176.5,6.9,28.7,3.6,Yes
Amaranth Dhokla,vegan,"amaranth flour, curd, spices",176.7,7.5,26.3,4.1,Yes
Ragi Dhokla,veg,"ragi flour, curd, mustard seeds",176.9,6.9,27.4,3.9,Yes
Spinach Upma,vegan,"spinach, semolina, mustard",176.9,6.7,27,3.6,Yes
Kale Upma,vegan,"kale, rava, mustard seeds",176.9,6.5,27,3.5,Yes
Methi Upma,vegan,"fenugreek, semolina, mustard",177.2,6.5,27.1,3.5,Yes
Brinjal Upma,vegan,"brinjal, semolina, curry leaves",178.1,6.4,27.1,3.6,Yes
Colocasia Upma,vegan,"arbi, semolina, mustard",178.2,6.3,27.3,3.6,Yes
Beans Paruppu Usili,vegan,"beans, chana dal, mustard",178.2,6.3,10.2,8.7,Yes
Arbi Masala,vegan,"colocasia, tomato, carom seeds",178.3,3.2,23.4,8.7,Yes
Sprouted Ragi Dhokla,veg,"sprouted ragi, curd, chili",178.4,8.1,26.5,4.3,Yes
Baingan Fry,vegan,"brinjal, besan, chili",178.4,3.3,13.5,11.2,Yes
Jowar Dhokla,veg,"jowar flour, curd, mustard",178.5,7.2,26.4,4.4,Yes
Beetroot Upma,vegan,"beetroot, rava, mustard",178.6,6.6,27.5,3.8,Yes
Sambar,vegan,"toor dal, tamarind, vegetables",178.6,8.3,22.5,6.1,Yes
Pumpkin Upma,vegan,"pumpkin, rava, mustard",178.7,6.5,27.3,3.6,Yes
Drumstick Leaves Upma,vegan,"moringa leaves, rava, spices",178.8,6.6,27.4,3.6,Yes
Zucchini & Carrot Upma,vegan,"zucchini, carrot, rava",179.1,6.4,27.2,3.6,Yes
Masala Oats Dhokla,veg,"oats, chili, curd, mustard",179.2,7,27.3,4.3,Yes
Bottle Gourd Upma,vegan,"lauki, mustard, semolina",179.3,6.2,27.3,3.7,Yes
Raw Mango Upma,vegan,"raw mango, rava, spices",179.4,6.4,27.5,3.7,Yes
Murungakkai Sambar,vegan,"drumstick, toor dal, spices",179.4,7.1,17.9,6.8,Yes
Buckwheat Dhokla,vegan,"buckwheat flour, curd, spices",179.6,7.3,27.2,4.2,Yes
Bottle Gourd Dhokla,veg,"lauki, besan, mustard",179.6,6.6,27,4.2,Yes
Spring Onion Upma,vegan,"spring onion, rava, chili",179.9,6.4,27.6,3.7,Yes
Stuffed Paneer Paratha,Veg,"Whole wheat flour, paneer, spices, water, salt",180,6,22,7,Yes
Sambar,Vegan,"Toor dal, Tamarind, Vegetables",180,9,32,4,Yes
Khandvi,Veg,"Besan, Curd, Spices",180,6,25,6,Yes
Thoran,Veg,"Cabbage, Coconut, Curry leaves",180,4,20,6,Yes
Sundal,Veg,"Chickpeas, Coconut, Curry leaves",180,9,24,5,Yes
Kaju Katli,Veg,"Cashew, Sugar, Cardamom",180,4,18,8,Yes
Kaju Katli,Veg,"Cashews, Sugar, Cardamom",180,4,18,8,Yes
Lassi (Sweet),Veg,"Curd, Sugar, Cardamom",180,5,28,4,Yes
Sugarcane Juice,Veg,"Sugarcane, Ginger, Lemon",180,1,45,0,Yes
Plain Paratha,veg,"Wheat flour, ghee, salt",180,4,26,7,No
Pudina Paratha,veg,"Wheat flour, mint leaves, chili, ghee",180,4,27,6,Yes
Akki Roti,veg,"Rice flour, onion, chili, coriander",180,3,34,2,Yes
Khaman Dhokla,veg,"besan, lemon juice, mustard seeds",180.4,7.2,30.5,4.5,Yes
Sprouted Oats Dhokla,veg,"sprouted oats, curd, mustard",180.4,7.8,27.1,4.2,Yes
Cucumber Dhokla,veg,"cucumber, besan, curd",180.6,6.4,27.2,4,Yes
Tomato Upma,vegan,"tomato, rava, curry leaves",180.6,6.4,28.5,3.9,Yes
Zucchini Dhokla,veg,"zucchini, besan, curd",180.9,6.6,27.9,4.2,Yes
Curry Leaf Dhokla,veg,"curry leaves, besan, mustard",181.3,6.9,27.6,4.3,Yes
Capsicum Upma,vegan,"capsicum, rava, spices",181.3,6.3,27.8,3.8,Yes
Lauki Dhokla,veg,"bottle gourd, besan, mustard",181.5,6.8,27.1,4.2,Yes
Mint Dhokla,veg,"mint leaves, besan, curd",181.5,6.5,27.7,4.1,Yes
Green Gram Dhokla,veg,"green gram, curd, ginger",182.1,8,27.8,4,Yes
Carrot & Beans Upma,vegan,"carrot, beans, rava",182.3,6.3,28,3.7,Yes
Carrot Beans Upma,vegan,"carrot, beans, semolina",182.4,6.3,28,3.7,Yes
Dhokla (Khaman),veg,"gram flour, yogurt, Eno, spices",182.54,6.82,21.45,7.21,Yes
Methi Dhokla,veg,"fenugreek leaves, besan, curd",182.7,6.8,27.5,4.4,Yes
Coriander Dhokla,veg,"coriander, besan, mustard",182.9,6.8,27.5,4.3,Yes
Sprouted Dhokla,veg,"sprouted moong, besan",183.5,8.6,27.9,4.3,Yes
Capsicum Dhokla,veg,"capsicum, besan, mustard",183.5,6.7,28.4,4.3,Yes
Ajwain Dhokla,veg,"ajwain, besan, curd",183.7,6.9,28.3,4.4,Yes
Moong Dal Dhokla,veg,"moong dal, ginger, chili, curd",184.2,8.3,28.9,4.1,Yes
Radish Dhokla,veg,"radish, besan, mustard",184.2,6.7,28.1,4.4,Yes
Millet Veg Upma,vegan,"millet, veggies, mustard",184.6,6.1,30.1,3.9,Yes
Palak Paratha,veg,"Wheat flour, spinach, chili, spices",185,5,28,6,Yes
Cabbage Dhokla,veg,"cabbage, besan, mustard",185.1,6.6,28.9,4.6,Yes
Carrot Dhokla,veg,"carrot, semolina, curd",185.6,6.1,29.7,4.6,Yes
Vendakkai Kara Kuzhambu,vegan,"ladies finger, tamarind, mustard",186.1,3.4,12.5,11.5,Yes
Uppu Kozhukattai,vegan,"rice flour, mustard, coconut",186.2,3.2,23.4,8.4,Yes
Jackfruit Upma,vegan,"raw jackfruit, semolina, chili",186.3,6.5,28.3,4,Yes
Dhokla (No Yogurt),vegan,"gram flour, lemon juice, spices",186.32,6.89,21.76,6.44,Yes
Barley Dhokla,veg,"barley flour, besan, curd",186.5,7,28.2,4.4,Yes
Masoor Dal Dhokla,veg,"masoor dal, chili, mustard",186.6,8.2,28.5,4.6,Yes
Instant Dhokla,veg,"besan, ENO, mustard seeds",187.3,7,29.1,4.7,Yes
Pumpkin Dhokla,veg,"pumpkin, besan, chili, mustard",187.3,6.9,29.6,4.7,Yes
Bengal Gram Upma,vegan,"chana dal, rava, spices",187.5,7.1,28.1,4.1,Yes
Tomato Spinach Dhokla,veg,"tomato, spinach, besan",187.9,7.1,29.3,4.5,Yes
Ragi Upma,vegan,"ragi flour, spices, mustard",187.9,6.4,30.8,4.1,Yes
Toor Dal Dhokla,veg,"toor dal, mustard, chili",188.3,7.7,29.4,4.7,Yes
Bengal Gram Dhokla,veg,"bengal gram, besan, spices",188.4,7.3,28.5,4.6,Yes
Moong Dal Upma,vegan,"moong dal, rava, curry leaves",188.4,8.5,26.8,4,Yes
Beetroot Dhokla,veg,"beetroot, besan, curd",189.2,6.8,28.9,4.9,Yes
Dhokla (Spicy),veg,"gram flour, chili paste, mustard",189.24,7.02,21.89,6.87,Yes
Karela Sabzi (No Onion Garlic),vegan,"karela, spices, mustard seeds",189.31,5.63,16.89,10.14,Yes
Chana Dal Dhokla,veg,"chana dal, ginger, chili",189.4,7.9,28.7,4.9,Yes
Mixed Sprouts Upma,vegan,"sprouts, rava, mustard",189.6,8.3,26.5,4.2,Yes
Sweet Potato Upma,vegan,"sweet potato, rava, mustard",189.6,6.5,29.2,4.1,Yes
Lauki Chana Dal,vegan,"bottle gourd, Bengal gram",189.6,9.5,24.7,5.6,Yes
Karela Dhokla,veg,"bitter gourd, besan, mustard",189.7,7,28.8,4.6,Yes
Lauki Chana Dal,vegan,"bottle gourd, Bengal gram",189.7,9.4,18.2,6.4,Yes
Baingan Bharta,Veg,"Brinjal, Tomato, Onion, Spices",190,4,18,10,Yes
Boondi Raita,Veg,"Curd, Boondi, Spices",190,7,18,8,Yes
Methi Paratha,veg,"Wheat flour, fenugreek leaves, chili",190,5,28,7,Yes
Beetroot Paratha,veg,"Wheat flour, beetroot, chili, spices",190,5,28,6,Yes
Thepla,veg,"Wheat flour, methi, chili, turmeric",190,6,28,6,Yes
Multigrain Dhokla,veg,"multigrain flour, curd, spices",191.4,7.5,30.3,4.9,Yes
Broken Wheat Upma,vegan,"broken wheat, ghee, curry leaves",191.8,5.9,31.4,4.2,Yes
Wheat Dhokla,veg,"wheat flour, curd, mustard",192.2,6.4,30.8,5.1,Yes
Rava Dhokla,veg,"semolina, curd, mustard seeds",192.3,5.9,31.6,5.2,Yes
Corn Upma,veg,"sweet corn, semolina, chili",192.5,6.1,29.6,4.3,Yes
Mushroom & Corn Upma,vegan,"mushrooms, corn, semolina",192.7,6.8,28.6,4.3,Yes
Dhokla (With Spinach),veg,"gram flour, spinach puree, chili",192.87,7.11,20.53,7.02,Yes
Kootu,vegan,"vegetables, lentils, coconut",193.5,7.2,16.3,8.7,Yes
Mushroom Upma,vegan,"mushrooms, rava, curry leaves",194.4,6.8,28.3,4.4,Yes
Dhokla (Rava),veg,"semolina, yogurt, Eno, mustard seeds",194.67,6.12,23.73,6.89,Yes
Coconut Dhokla,veg,"grated coconut, besan, mustard",194.7,6.5,30.1,5,Yes
Karela Sabzi (Roasted),vegan,"karela, spices, minimal oil",194.74,5.72,17.06,10.23,Yes
Mooli Paratha,veg,"Wheat flour, radish, green chili, spices",195,4,30,6,No
Masala Dhokla,veg,"besan, green chili, mustard",195.2,6.9,30.7,4.8,Yes
Tomato Dhokla,veg,"tomato puree, besan, spices",195.8,6.5,30.9,4.8,Yes
Sesame Dhokla,veg,"sesame seeds, besan, curd",195.8,7.2,30.3,5.1,Yes
Mixed Veg Dhokla,veg,"carrot, beans, besan, mustard",196.3,7.2,30.4,5,Yes
Dhokla (With Carrot),veg,"gram flour, carrot, mustard, chili",196.42,6.95,22.67,7.31,Yes
Poha Dhokla,veg,"poha, curd, mustard",197.1,6.2,31.1,5,Yes
Karela Sabzi (Microwave),vegan,"karela, masala, minimal oil",197.68,5.83,17.64,10.53,Yes
Dhokla (With Beetroot),veg,"gram flour, beetroot puree, mustard",198.15,6.72,22.94,7.15,Yes
