Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Jowar Upma,vegan,"jowar, mustard, curry leaves",198.2,6.6,32.5,4.5,Yes
Tomato & Tofu Upma,vegan,"tomato, tofu, semolina",198.2,8.6,27.4,4.7,Yes
Masoor Dal,vegan,"red lentils, onion, tomato",198.2,11.6,27.3,4.2,Yes
Baingan Bharta (Low Oil),vegan,"eggplant, tomato, garlic, spices",198.27,6.42,25.76,7.05,Yes
Vermicelli Dhokla,veg,"vermicelli, besan, mustard",198.3,6.2,31.9,5.2,Yes
Prawn Masala,nonveg,"prawns, coconut, spices",198.3,21.6,5.6,10.4,Yes
Karela Sabzi (Dry),vegan,"bitter gourd, onion, spices",198.46,5.78,17.32,10.94,Yes
Keerai Kootu,vegan,"amaranth leaves, dal, coconut",198.5,8.3,14.7,8.2,Yes
Egg Bhurji,nonveg,"eggs, onion, tomato, chili",198.6,13.4,3.1,14.7,Yes
Peanut Upma,vegan,"peanuts, semolina, chili",198.7,7,29.3,4.6,Yes
Sunflower Seed Dhokla,vegan,"sunflower seeds, besan, mustard",199.4,8,29.5,5.3,Yes
Bhindi Masala,Veg,"Ladyfinger, Onion, Tomato, Spices",200,4,20,8,Yes
Missi Roti,Veg,"Wheat flour, Besan, Spices",200,7,30,5,Yes
Rose Milk,Veg,"Milk, Rose syrup, Sugar",200,6,30,5,Yes
Sharbat-e-Mohabbat,Veg,"Milk, Watermelon, Rose syrup",200,6,30,5,Yes
Feni (Goa),Nonveg ,"Cashew apple, Fermentation",200,0,0,0,No
Lachha Paratha,veg,"Wheat flour, ghee, salt",200,4,28,8,No
Onion Paratha,veg,"Wheat flour, onion, chili, coriander",200,5,30,7,No
Missi Paratha,veg,"Gram flour, wheat flour, chili, spices",200,6,28,7,Yes
Khoba Roti,veg,"Wheat flour, ghee, salt",200,5,32,7,No
Dhokla (Moong Dal),veg,"moong dal, ginger, chili, yogurt",201.34,7.54,20.91,7.84,Yes
Khatta Dhokla,veg,"rice, urad dal, sour curd",201.6,6.1,33.4,5.6,Yes
Tofu Upma,vegan,"tofu, semolina, spices",201.8,9.2,26.7,5.1,Yes
Karela Sabzi (Baked),vegan,"karela, spices, olive oil",202.17,5.91,18.23,10.82,Yes
Masoor Dal Tadka,vegan,"red lentils, cumin, garlic",202.8,10.5,21.3,8.1,Yes
Kanchipuram Idli,veg,"rice, urad dal, pepper",203.1,5.9,30.4,6.2,Yes
Karela Sabzi (Spicy),vegan,"karela, green chili, turmeric",203.16,5.89,17.93,11.44,Yes
Sweet Corn Dhokla,veg,"corn, besan, ginger",203.4,6.4,33.8,5.1,Yes
Bajra Upma,vegan,"bajra, vegetables, spices",203.7,6.3,33.2,4.8,Yes
Avial,vegan,"mixed vegetables, coconut, yogurt",204.1,4.1,13.4,13.8,Yes
Soya Dhokla,veg,"soy flour, besan, curd",204.3,9.1,30.2,5.3,Yes
Peas & Paneer Upma,veg,"peas, paneer, rava",205.4,9.1,27.7,5.2,Yes
Karela Sabzi (With Hing),vegan,"karela, asafoetida, spices",206.33,5.95,18.64,11.22,Yes
Dhokla (Tandoori),veg,"gram flour, smoked masala, yogurt",207.93,7.18,22.36,7.94,Yes
Walnut Dhokla,veg,"walnuts, besan, mustard",208.6,7.5,30.9,6.3,Yes
Stuffed Dhokla,veg,"besan, coconut, green chutney",209.6,7.1,31.5,6,Yes
Paneer Upma,veg,"paneer, rava, chili",209.7,9.6,27.2,5.4,Yes
Karela Sabzi (With Turmeric),vegan,"karela, turmeric, onion",209.81,5.98,18.94,11.43,Yes
Tandoori Dhokla,veg,"besan, chili, roasted masala",209.9,7.4,31.7,5.8,Yes
Aloo Gobi,Veg,"Cauliflower, Potato, Spices",210,5,28,9,Yes
Neer Dosa,Veg,"Rice, Salt, Water",210,4,44,3,Yes
Sarson da Saag,Veg,"Mustard leaves, Spinach, Spices",210,8,20,8,Yes
Cold Coffee,Veg,"Milk, Coffee, Sugar, Ice",210,6,34,6,Yes
Gobi Paratha,veg,"Wheat flour, cauliflower, chili, spices",210,6,30,8,No
Koki Roti,veg,"Wheat flour, onion, green chili, ghee",210,5,32,7,No
Spinach Paneer Dhokla,veg,"spinach, paneer, besan",210.8,9.5,29.6,5.9,Yes
Karela Sabzi (With Tomato),vegan,"karela, tomato, onion",211.27,6.02,19.11,11.71,Yes
Chicken Rasam,nonveg,"chicken broth, pepper, tamarind",211.6,19.4,4.6,11.2,Yes
Paneer Dhokla,veg,"paneer, besan, mustard",212.4,10.3,29.2,6.2,Yes
Rajma Masala,vegan,"kidney beans, tomato, onion",212.5,12.3,32.1,3.8,Yes
Karela Sabzi (With Lemon Juice),vegan,"karela, lemon juice, spices",212.55,6.03,19.18,11.61,Yes
Chana Masala,vegan,"chickpeas, onion, tomato",213.6,11.2,28.5,6.9,Yes
Egg Upma,nonveg,"egg, rava, mustard",214.2,10.1,26.6,5.9,Yes
Baingan Bharta (No Onion Garlic),vegan,"eggplant, tomato, spices",214.26,6.62,18.79,11.96,Yes
Dhokla (Multigrain),veg,"gram flour, oats, ragi, spices",214.59,8.21,22.88,8.36,Yes
Karela Sabzi (Tangy),vegan,"karela, amchur, tomato",214.82,6.08,19.32,11.85,Yes
Karela Sabzi (With Onion-Tomato),vegan,"karela, onion, tomato",217.34,6.09,19.87,11.92,Yes
Protein Rich Dhokla,veg,"moong dal, paneer, curd",218.5,11.2,28.6,6,Yes
Masala Omelette,nonveg,"egg, onion, tomato, chili",218.6,13.8,3.6,15.4,Yes
Sandwich Dhokla,veg,"besan, bread slices, mustard, curry leaves",218.7,7.1,32.6,6.3,Yes
Kambu Dosai,vegan,"pearl millet, rice, urad dal",218.7,6.3,34.5,5.7,Yes
Karela Sabzi (With Methi),vegan,"karela, fenugreek, onion",219.41,6.19,19.78,12.08,Yes
Dal Tadka,Vegan,"Yellow dal, Garlic, Onion, Spices",220,11,28,6,Yes
Dhokla,Veg,"Besan, Curd, Mustard seeds",220,7,38,5,Yes
Idiyappam,Veg,"Rice flour, Salt, Water",220,4,46,4,Yes
Kothimbir Vadi,Veg,"Besan, Coriander, Spices",220,7,28,6,Yes
Ghugni,Veg,"White peas, Onion, Spices",220,9,36,3,Yes
Rasgulla,Veg,"Chhena, Sugar syrup",220,5,42,4,Yes
Pani Puri,Veg,"Sooji puri, Potato, Tamarind water",220,5,36,6,Yes
Makki di Roti,Veg,"Makki flour, Salt, Water",220,6,38,4,Yes
Rasgulla,Veg,"Chhena, Sugar syrup",220,5,42,4,Yes
Badam Milk,Veg,"Milk, Almonds, Sugar, Cardamom",220,7,30,8,Yes
Shondesh (Bengali),Veg,"Paneer, Sugar, Cardamom",220,7,30,6,Yes
Tilgul (Sesame Ladoo),Veg,"Sesame seeds, Jaggery",220,6,30,9,Yes
Fish Pickle,Nonveg,"Fish, Oil, Mustard, Spices",220,18,5,12,Yes
Aloo Paratha,veg,"Wheat flour, potato, chili, ghee",220,5,32,9,No
Thalipeeth,veg,"Multigrain flour, chili, onion, coriander",220,7,32,8,Yes
Protein Mix Dhokla,veg,"moong, masoor, paneer, besan",221.6,11.5,29.2,6.1,Yes
Baingan Bharta,vegan,"eggplant, onion, tomato",222.34,6.84,19.37,12.45,Yes
Karela Sabzi (With Garlic),vegan,"karela, garlic, tomato",222.79,6.16,20.04,12.22,Yes
Dal Tadka,vegan,"toor dal, garlic, ghee",224.1,11.2,28.4,7.2,Yes
Baingan Bharta (Home Style),vegan,"eggplant, tomato, garlic, onion",224.11,6.98,28.47,9.31,Yes
Capsicum Rice,vegan,"rice, bell pepper, mustard seeds",224.6,4.5,35.2,6.1,Yes
Arisi Upma,vegan,"rice, pepper, mustard",224.6,4.2,30.5,9.6,Yes
Baingan Bharta (With Coriander),vegan,"eggplant, coriander, tomato",225.67,6.91,19.67,12.72,Yes
Boiled Egg Curry,nonveg,"eggs, tomato, onion, spices",226.4,13.2,6.3,14.3,Yes
Baingan Bharta (Smoky),vegan,"roasted eggplant, tomato, spices",226.45,6.96,19.78,12.81,Yes
Karela Sabzi (Sweet-Spicy),vegan,"karela, jaggery, chili",228.66,6.38,20.91,12.61,Yes
Baingan Bharta (Spicy),vegan,"eggplant, chili, tomato",228.91,7.03,20.02,13.05,Yes
Prawn Upma,nonveg,"prawns, rava, green chili",229.1,11.7,27.6,6,Yes
Poha,Veg,"Flattened rice, Onion, Peanuts",230,5,42,7,Yes
Chitranna,Veg,"Rice, Lemon juice, Curry leaves",230,5,46,6,Yes
Shukto,Veg,"Bitter gourd, Vegetables, Mustard",230,6,28,8,Yes
Nolen Gurer Sandesh,Veg,"Chhena, Date palm jaggery, Cardamom",230,7,28,8,Yes
Kesar Badam Milk,Veg,"Milk, Almonds, Saffron, Sugar",230,8,28,9,Yes
Fish Tikka,nonveg,"fish, yogurt, spices",230.7,24.2,4.5,12.8,Yes
Baingan Bharta (With Peas),vegan,"eggplant, peas, tomato",232.61,7.12,20.14,13.18,Yes
Baingan Bharta (With Hing),vegan,"eggplant, asafoetida, tomato",232.89,7.11,20.19,13.31,Yes
Egg Masala,nonveg,"egg, tomato, onion, garam masala",233.5,13.5,6.8,15.2,Yes
Baingan Bharta (With Capsicum),vegan,"eggplant, capsicum, tomato",234.67,7.15,20.28,13.43,Yes
Baingan Bharta (With Mint),vegan,"eggplant, mint, tomato",236.14,7.18,20.42,13.56,Yes
Karela Sabzi (With Potato),vegan,"karela, potato, masala",236.27,6.42,24.76,12.33,Yes
Thinai Pongal,vegan,"foxtail millet, moong dal, ghee",236.4,7.1,25.4,10.9,Yes
Vegetable Kurma,veg,"carrot, beans, coconut, spices",236.9,4.7,16.5,14.1,Yes
Upma,vegan,"semolina, mustard seeds, curry leaves",237.5,5.4,34.1,9.4,Yes
Baingan Bharta (With Methi),vegan,"eggplant, fenugreek, tomato",237.98,7.21,20.53,13.66,Yes
Egg Bhurji,nonveg,"egg, onion, tomato",238.4,13.4,6.7,16.3,Yes
Chicken Upma,nonveg,"chicken mince, rava, spices",238.6,12.4,27.9,6.5,Yes
Baingan Bharta (With Carrot),vegan,"eggplant, carrot, tomato",239.42,7.24,20.68,13.78,Yes
Sev Tamatar,Veg,"Tomato, Sev, Spices",240,5,28,8,Yes
Vegetable Stew,Veg,"Vegetables, Coconut milk, Spices",240,5,28,10,Yes
Misti Doi,Veg,"Milk, Sugar, Curd",240,8,32,7,Yes
Misti Doi,Veg,"Milk, Sugar, Curd",240,8,32,7,Yes
Banana Shake,Veg,"Milk, Banana, Sugar",240,7,45,6,Yes
Strawberry Shake,Veg,"Milk, Strawberry, Sugar",240,6,40,6,Yes
Soan Papdi,Veg,"Besan, Sugar, Ghee, Cardamom",240,5,34,10,Yes
Chikki (Peanut),Veg,"Peanuts, Jaggery",240,9,28,12,Yes
Paneer Paratha,veg,"Wheat flour, paneer, chili, coriander",240,9,32,10,No
Kulcha,veg,"Maida, yogurt, yeast, ghee",240,5,40,6,No
Egg Curry,nonveg,"eggs, tomato, onion, spices",240.2,13.7,9.3,15.6,Yes
Egg Pepper Fry,nonveg,"egg, black pepper, garlic",241.9,13.7,5.3,15.6,Yes
Lauki Kofta,veg,"bottle gourd, besan, gravy",243.5,6.8,11.7,16.9,Yes
Egg Roast,nonveg,"boiled eggs, onion, tomato, chili",243.9,13.8,8.2,15.7,Yes
Masoor Dal (No Oil),vegan,"masoor dal, garlic, tomato, spices",244.13,15.62,27.94,5.38,Yes
Egg Bhaji,nonveg,"egg, chili, coriander",244.8,13.5,4.9,15.6,Yes
Baingan Bharta (With Mustard Oil),vegan,"eggplant, mustard oil, tomato",244.93,7.28,21.22,14.37,Yes
Pudina Rice,vegan,"mint, rice, green chili",245.3,4.2,38.7,9.1,Yes
Aloo Gobi (Dry),veg,"potato, cauliflower, turmeric",245.66,5.41,21.98,12.42,Yes
Baingan Bharta (With Peas),vegan,"eggplant, green peas, onion, garlic",247.83,7.26,30.29,10.46,Yes
Egg Curry (Kerala Style),nonveg,"boiled eggs, coconut, curry leaves",248.3,14.1,9.5,16.8,Yes
Karela Sabzi (Stuffed),vegan,"karela, ground masala, onion",248.59,6.78,25.61,13.47,Yes
Upma,Veg,"Rava, Vegetables, Curry leaves",250,6,45,6,Yes
Thepla,Veg,"Wheat flour, Fenugreek, Spices",250,7,40,9,Yes
Modak,Veg,"Rice flour, Jaggery, Coconut",250,4,38,7,Yes
Ragi Mudde,Vegan,"Ragi flour, Water, Salt",250,6,55,2,Yes
Puttu,Veg,"Rice flour, Coconut, Salt",250,4,48,6,Yes
Kesari Bath,Veg,"Rava, Sugar, Ghee",250,5,40,9,Yes
Sandesh,Veg,"Chhena, Sugar, Cardamom",250,7,32,8,Yes
Rava Ladoo,Veg,"Rava, Sugar, Ghee",250,5,34,9,Yes
Butter Naan,Veg,"Maida, Butter, Yeast",250,6,40,8,No
Galouti Kebab,Nonveg,"Mutton, Spices",250,22,8,14,Yes
Egg Bhurji,Nonveg,"Eggs, Onion, Tomato, Spices",250,14,6,18,Yes
Peda,Veg,"Milk, Sugar, Cardamom",250,6,32,9,Yes
Rava Ladoo,Veg,"Rava, Ghee, Sugar",250,5,34,9,Yes
Sandesh,Veg,"Chhena, Sugar, Cardamom",250,7,32,8,Yes
Pitha (Assam),Veg,"Rice flour, Jaggery, Coconut",250,5,38,6,Yes
Kesari Bath,Veg,"Rava, Sugar, Ghee",250,5,40,9,Yes
Mango Shake,Veg,"Milk, Mango, Sugar",250,6,42,7,Yes
Pathishapta Pitha,Veg,"Rice flour, Coconut, Jaggery",250,5,40,6,Yes
Prawn Pickle,Nonveg,"Prawns, Oil, Spices",250,20,6,14,Yes
Egg Paratha,nonveg,"Wheat flour, egg, chili, onion",250,10,28,9,No
Crab Curry,nonveg,"crab, coconut, spices",250.1,20.7,5.5,15.9,Yes
Fish Paturi,nonveg,"fish, mustard paste, banana leaf",250.9,22.1,4.5,14.3,Yes
Baingan Bharta (With Ghee),veg,"eggplant, ghee, spices",251.38,7.31,21.48,14.89,No
Karela Sabzi (With Besan),vegan,"karela, chickpea flour, masala",251.68,6.97,22.83,13.64,Yes
Anda Curry (Egg Curry),nonveg,"egg, onion, garam masala",252.4,14.1,7.6,15.9,Yes
Aloo Gobi (No Onion),veg,"potato, cauliflower, cumin",253.41,5.26,22.61,13.14,Yes
Paneer Jalfrezi,veg,"paneer, bell peppers, onion",256.8,11.8,10.5,18.2,Yes
Karela Sabzi (Punjabi Style),vegan,"karela, onion, spices, mustard oil",256.97,6.89,23.49,13.98,Yes
Appam,Veg,"Rice flour, Coconut milk, Yeast",260,5,52,7,Yes
Puliyodarai,Veg,"Rice, Tamarind, Curry leaves",260,6,50,7,Yes
Dalma,Veg,"Toor dal, Vegetables, Spices",260,10,40,7,Yes
Ghugni Chaat,Veg,"White peas, Onion, Tamarind",260,10,42,6,Yes
Besan Ladoo,Veg,"Besan, Ghee, Sugar",260,5,34,12,Yes
Phirni,Veg,"Rice, Milk, Sugar, Cardamom",260,7,38,8,Yes
Bhel Puri,Veg,"Murmura, Sev, Onion, Tamarind chutney",260,6,42,7,Yes
Besan Ladoo,Veg,"Besan, Ghee, Sugar",260,5,34,12,Yes
Phirni,Veg,"Rice, Milk, Sugar, Cardamom",260,7,38,8,Yes
Thandai,Veg,"Milk, Almonds, Fennel, Sugar, Spices",260,8,28,10,Yes
Chikoo Shake,Veg,"Milk, Chikoo, Sugar",260,6,48,7,Yes
Rasmalai,Veg,"Chhena, Milk, Sugar, Cardamom",260,8,32,8,Yes
Bhelpuri,Veg,"Murmura, Sev, Onion, Tamarind",260,6,42,7,Yes
Chicken Pickle,Nonveg,"Chicken, Oil, Spices",260,22,5,12,Yes
Naan,veg,"Maida, yogurt, yeast, milk, ghee",260,6,45,6,No
Egg Kurma,nonveg,"egg, coconut, spices",261.2,13.9,7.2,17.3,Yes
Masoor Dal (Low Fat),vegan,"masoor dal, tomato, spices, turmeric",261.78,16.31,29.12,6.83,Yes
Aloo Gobi (Tandoori),veg,"potato, cauliflower, smoked spice",261.94,5.52,23.15,14.31,Yes
Karela Sabzi (South Indian),vegan,"karela, coconut, curry leaves",263.31,7.13,24.02,14.36,Yes
Karela Sabzi (With Peanuts),vegan,"karela, peanuts, spices",263.74,7.16,23.94,14.93,Yes
Baingan Bharta (With Curd),veg,"eggplant, curd, tomato",263.82,7.46,22.16,15.37,Yes
Toor Dal (Low Oil),vegan,"toor dal, turmeric, tomato, garlic",265.32,14.85,29.76,6.41,Yes
Prawn Masala Dry,nonveg,"prawns, garlic, curry leaves",265.4,22.7,4.9,15.1,Yes
Prawn Cutlet,nonveg,"prawns, bread crumbs, spices",265.5,19.6,12.1,14.3,Yes
Egg Drop Curry,nonveg,"egg, tomato puree, spices",266.1,14.9,7.2,16.5,Yes
Karela Sabzi (With Grated Coconut),vegan,"karela, coconut, mustard seeds",266.42,7.21,23.86,14.28,No
Aloo Gobi,veg,"potato, cauliflower, spices",267.34,5.78,23.92,14.56,Yes
Fish in Mustard Sauce,nonveg,"fish, mustard, green chili",267.8,23.1,5.3,15.9,Yes
Egg Curry Kerala Style,nonveg,"egg, coconut, curry leaves",268.5,12.4,6.1,18.7,Yes
Baingan Bharta (With Coconut),vegan,"eggplant, coconut, tomato",268.59,7.51,22.39,15.72,No
Baingan Bharta (Spicy),vegan,"eggplant, tomato, chili, spices",268.64,7.71,31.98,11.67,Yes
Fish Curry (Bengali),nonveg,"fish, mustard, nigella seeds",268.9,23.2,7.1,16.4,Yes
Karela Sabzi (With Coconut),vegan,"karela, coconut, mustard seeds",269.13,7.24,24.15,14.51,No
Fish Tikka,nonveg,"fish, yogurt, tandoori spices",269.7,24.8,5.5,15.9,Yes
Aloo Gobi (Spicy),veg,"potato, cauliflower, chili",269.78,5.64,24.27,14.43,Yes
Avial,Veg,"Mixed vegetables, Coconut, Yogurt, Spices",270,6,28,11,Yes
Payasam,Veg,"Rice, Jaggery, Coconut milk",270,6,42,7,Yes
Payasam,Veg,"Rice, Jaggery, Coconut milk",270,6,42,7,Yes
Pineapple Sheera,Veg,"Rava, Pineapple, Sugar, Ghee",270,6,40,9,Yes
Lacha Naan,veg,"Maida, ghee, milk, yeast",270,5,45,7,No
Tandoori Chicken,nonveg,"chicken, yogurt, tandoori masala",270.9,27.4,4.2,14.9,Yes
Toor Dal (No Onion),vegan,"toor dal, tomato, turmeric, spices",271.88,14.73,28.36,6.87,Yes
Aloo Gobi (With Garlic),veg,"potato, cauliflower, garlic",272.58,5.84,24.18,14.91,Yes
Fish Tandoori,nonveg,"fish, tandoori masala, yogurt",272.8,25.4,5.6,14.5,Yes
Kootu Curry (Low Fat),veg,"banana, chana, minimal coconut, turmeric",273.67,10.05,27.68,8.16,Yes
Tandoori Pomfret,nonveg,"pomfret, lemon juice, masala",273.8,25.2,4.8,16.5,Yes
Medu Vada,veg,"urad dal, black pepper, oil",274.1,9.4,19.3,17.7,No
Aloo Gobi (With Peas),veg,"potato, cauliflower, green peas",274.11,5.77,25.36,14.69,Yes
Egg Curry Kerala Style,nonveg,"egg, coconut, curry leaves",274.5,14.7,6.9,17.9,Yes
Karela Sabzi (With Sesame),vegan,"karela, sesame, spices",274.63,7.28,24.57,14.97,Yes
Prawn Vindaloo,nonveg,"prawns, vinegar, spices",275.6,22.4,8.9,16.1,Yes
Vegetable Stew (Low Fat),vegan,"potato, carrot, thin coconut milk, spices",275.66,7.83,28.96,9.02,Yes
Anda Ghotala,nonveg,"egg, spices, green chili",276.3,16.4,5.7,17.2,Yes
Fish Thoran,nonveg,"fish, coconut, mustard seeds",276.4,22.5,5.3,17.1,Yes
Karela Sabzi (With Yogurt),veg,"karela, curd, masala",276.41,7.32,23.74,15.89,Yes
Fish Curry,nonveg,"fish, mustard, tomato, spices",276.8,22.3,7.4,18.2,Yes
Fish Curry (Goan),nonveg,"fish, coconut, kokum",276.8,22.9,8.1,17.3,Yes
Pongal,veg,"rice, moong dal, pepper, ghee",278.4,6.9,28.5,13.1,Yes
Coconut Sevai,vegan,"rice noodles, grated coconut",278.4,4.1,36.5,12.2,Yes
Fish Curry Tamil Style,nonveg,"fish, tomato, mustard seeds",278.6,24.3,6.7,16.2,Yes
Aloo Gobi (Gravy),veg,"potato, cauliflower, tomato",278.73,5.86,23.74,15.03,Yes
Pesarattu,Vegan,"Green gram, Ginger, Green chilli",280,12,48,5,Yes
Curd Rice,Vegetarian,"Rice, Curd, Curry leaves",280,7,50,6,Yes
Egg Curry,Nonveg,"Eggs, Onion, Tomato, Spices",280,16,10,20,Yes
Khichdi,Veg,"Rice, Moong dal, Ghee, Spices",280,9,48,7,Yes
Thalipeeth,Veg,"Multigrain flour, Onion, Spices",280,8,40,8,Yes
Shrikhand,Veg,"Curd, Sugar, Saffron",280,7,38,9,Yes
Kappa Curry,Veg,"Tapioca, Coconut, Spices",280,3,60,6,Yes
Curd Vada,Veg,"Urad dal, Curd, Spices",280,10,34,9,Yes
Aloo Posto,Veg,"Potato, Poppy seeds, Mustard oil",280,6,32,12,Yes
Macher Paturi,Nonveg,"Fish, Mustard paste, Banana leaf",280,26,5,12,Yes
Cholar Dal,Veg,"Chana dal, Coconut, Spices",280,11,38,9,Yes
Motichoor Ladoo,Veg,"Besan, Sugar, Ghee",280,4,36,11,No
Onion Bhaji,Veg,"Onion, Besan, Oil",280,6,24,15,No
Dahi Puri,Veg,"Puri, Potato, Curd, Spices",280,7,36,10,Yes
Aloo Tikki,Veg,"Potato, Spices, Oil",280,6,28,14,No
Chicken Tikka,Nonveg,"Chicken, Yogurt, Spices",280,26,10,12,Yes
Shami Kebab,Nonveg,"Mutton, Chana dal, Spices",280,20,12,14,Yes
Kebabs Lucknawi,Nonveg,"Chicken, Spices, Butter",280,24,12,14,Yes
Ladoo (Motichoor),Veg,"Besan, Ghee, Sugar",280,4,36,11,No
Cham Cham,Veg,"Chhena, Sugar syrup, Food color",280,6,46,6,No
Kheer,Veg,"Rice, Milk, Sugar, Cardamom",280,8,42,7,Yes
Kulfi,Veg,"Milk, Sugar, Cardamom, Nuts",280,7,30,10,Yes
Kharvas,Veg,"Colostrum milk, Sugar, Cardamom",280,9,32,10,Yes
Falooda Drink,Veg,"Milk, Rose syrup, Sabja, Vermicelli",280,6,40,9,Yes
Kalakand,Veg,"Milk, Sugar, Cardamom",280,7,32,10,Yes
Singori,Veg,"Khoya, Sugar, Wrapped in leaf",280,6,36,10,Yes
Dahi Bhalla,Veg,"Urad dal, Curd, Spices",280,9,36,8,Yes
Mutton Pickle,Nonveg,"Mutton, Oil, Spices",280,20,6,15,Yes
Garlic Naan,veg,"Maida, garlic, yogurt, yeast, butter",280,6,48,7,No
Cheese Paratha,veg,"Wheat flour, cheese, chili, ghee",280,9,30,12,No
Stuffed Kulcha,veg,"Maida, potato/paneer, chili, ghee",280,7,42,8,No
Chicken Pakora,nonveg,"chicken, gram flour, spices",280.4,22.8,10.6,17.5,No
Karela Sabzi (Fried),vegan,"karela, oil, masala",281.96,6.91,26.35,15.84,No
Pomfret Masala Curry,nonveg,"pomfret, tomato, mustard",282.2,24.7,6.5,17.1,Yes
Karam Dosa,vegan,"rice batter, red chili chutney",282.7,5.8,34.2,12.4,Yes
Prawn Bhuna,nonveg,"prawns, tomato, chili",284.1,22.6,5.9,17.2,Yes
Fish Pulusu,nonveg,"fish, tamarind, onion",284.1,24.7,6.5,17.9,Yes
Kootu Curry (No Coconut),veg,"raw banana, chana, mustard, spices",284.13,9.91,28.74,9.34,Yes
Toor Dal (Home Style),vegan,"toor dal, onion, chili, cumin",284.17,15.32,31.55,7.93,Yes
Tomato Bath,veg,"rice, tomato, spices",284.6,5.3,39.8,11.2,Yes
Chana Sundal (Low Fat),vegan,"chickpeas, spices, curry leaves, mustard",284.94,13.12,27.01,7.94,Yes
Fish Curry Andhra Style,nonveg,"fish, tamarind, curry leaves",285.3,23.1,6.4,17.9,Yes
Chicken Saagwala,nonveg,"chicken, spinach, spices",285.4,24.2,6.1,15.6,Yes
Pomfret Fry,nonveg,"pomfret, semolina, turmeric",285.7,24.5,5.8,17.6,Yes
Pomfret Fry,nonveg,"pomfret, semolina, lemon",286.4,24.7,5.3,17.3,Yes
Pongal (No Ghee),vegan,"rice, moong dal, pepper, cumin",286.73,9.37,39.74,6.82,Yes
Aloo Gobi (Low Fat),veg,"potato, cauliflower, garlic, tomato",287.29,11.86,35.97,8.71,Yes
Idiyappam with Stew,veg,"rice noodles, vegetable stew",287.3,5.8,38.6,11.4,Yes
Prawn Avial,nonveg,"prawns, coconut, mixed vegetables",287.3,22.1,8.4,17.2,Yes
Baingan Bharta (Smoky),vegan,"eggplant, tomato, ghee, spices",287.32,8.17,29.84,12.73,Yes
Methi Chicken,nonveg,"chicken, fenugreek leaves, spices",287.6,26.1,5.7,16.8,Yes
Fish Amritsari,nonveg,"fish, besan, ajwain, spices",288.3,24.1,9.5,16.3,Yes
Tandoori Chicken Wings,nonveg,"chicken wings, yogurt, spices",288.4,25.3,3.7,18.2,Yes
Kadhi Pakora (Low Fat),veg,"gram flour, yogurt, chili, garlic",288.62,13.65,36.42,9.58,Yes
Aloo Gobi (With Butter),veg,"potato, cauliflower, butter",288.79,5.91,24.63,15.89,No
Prawn Sukka,nonveg,"prawns, grated coconut, curry leaves",289.6,22.9,5.4,18.7,Yes
Fish Chettinad Curry,nonveg,"fish, curry leaves, black pepper",289.6,23.2,7.1,17.8,Yes
Fish Molee,nonveg,"fish, coconut milk, pepper",289.7,23.6,7.2,18.3,Yes
Basundi,Veg,"Milk, Sugar, Cardamom, Saffron",290,8,36,8,Yes
Patishapta,Veg,"Maida, Jaggery, Coconut, Khoya",290,6,40,9,Yes
Anarsa,Veg,"Rice flour, Jaggery, Poppy seeds",290,5,44,9,Yes
Aloo Chaat,Veg,"Potato, Chutneys, Spices",290,5,48,10,No
Paneer Tikka,Veg,"Paneer, Yogurt, Spices",290,16,14,18,Yes
Amritsari Kulcha,veg,"Maida, potato, spices, ghee",290,6,44,9,No
