Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Chole (Dry),veg,"chickpeas, onion, tomato, ghee",371.43,14.37,43.12,20.1,No
Chana Masala (Spicy),vegan,"chickpeas, chili, tomato",372.36,13.63,31.27,21.48,Yes
Keema Pav,nonveg,"minced mutton, pav, onion",372.4,26.9,29.1,20.3,No
Rajma Masala (With Mint),vegan,"rajma, mint, tomato",372.89,14.29,32.57,22.03,Yes
Matar Paneer (With Tofu),vegan,"tofu, peas, tomato",373.32,13.76,18.72,27.63,Yes
Vegetable Khichdi (Green),veg,"rice, dal, spinach, green chili",373.89,11.63,43.79,13.02,Yes
Mutton Masala Fry,nonveg,"mutton, garlic, green chili",374.3,28.4,6.8,25.7,No
Chole (With Paneer),veg,"chickpeas, paneer, tomato",374.38,14.23,39.26,16.12,No
Pongal (With Cashews),veg,"rice, dal, ghee, cashews",374.46,9.69,44.52,15.94,No
Vegetable Khichdi (Home Style),veg,"rice, moong dal, carrot, peas",374.53,11.33,44.26,12.94,Yes
Mutton Do Pyaza,nonveg,"mutton, onion, garlic",374.6,28.2,7.1,26.7,No
Rajma Masala (With Ghee),vegan,"kidney beans, ghee, onion, tomato",374.66,15.69,36.88,13.74,No
Chana Masala (With Onion),vegan,"chickpeas, onion, tomato",374.71,13.68,31.52,21.65,Yes
Mutton Kheema,nonveg,"minced mutton, onion, peas",375.7,30.2,5.8,27.9,No
Egg Kothu Parotta,nonveg,"egg, parotta, onion",376.4,14.8,30.2,22.5,No
Kadhi Pakora (Punjabi),veg,"gram flour, yogurt, onion, spices",376.43,14.77,42.88,17.64,No
Rajma Masala,vegan,"kidney beans, tomato, spices",377.21,14.31,32.85,22.18,Yes
Rajma (With Paneer),veg,"rajma, paneer, tomato",377.95,14.93,37.26,16.02,No
Mutton Keema Dosa,nonveg,"minced mutton, dosa batter, chutney",378.9,22.4,30.4,19.6,No
Palak Paneer (With Roti),veg,"paneer, spinach, onion, ghee",378.94,19.9,36.87,19.12,Yes
Chicken Ghee Roast,nonveg,"chicken, ghee, red chili",379.5,26.8,5.3,27.6,No
Vegetable Khichdi (With Veggies),veg,"rice, moong dal, beans, carrot",379.84,11.78,45.23,12.72,Yes
Vada Pav,Veg,"Potato, Bun, Spices",380,8,52,13,No
Puran Poli,Veg,"Wheat flour, Chana dal, Jaggery",380,9,60,10,Yes
Bisi Bele Bath,Veg,"Rice, Toor dal, Tamarind, Spices",380,11,65,9,Yes
Egg Biryani,Nonveg,"Eggs, Rice, Spices",380,16,58,12,Yes
Ghewar,Veg,"Maida, Sugar, Ghee",380,6,58,15,No
Ghewar,Veg,"Maida, Sugar, Ghee",380,6,58,15,No
Shahi Tukda,Veg,"Bread, Milk, Sugar, Ghee",380,6,45,16,No
Egg Roll,Nonveg,"Paratha, Egg, Onion, Spices",380,14,45,12,Yes
Pongal (Sweet),veg,"rice, jaggery, ghee, cardamom",381.34,5.63,59.21,13.81,No
Rajma Masala (Spicy),vegan,"rajma, chili, tomato",381.76,14.42,33.29,22.53,Yes
Rajma Masala (With Onion),vegan,"rajma, onion, tomato",384.12,14.47,33.54,22.72,Yes
Vegetable Khichdi (Tandoori),veg,"khichdi, smoked spices, vegetables",384.43,11.86,44.76,13.51,Yes
Chole (Spicy),veg,"chickpeas, tomato, green chili, onion",384.52,17.61,46.39,18.55,Yes
Egg Fried Rice,nonveg,"egg, rice, soy sauce, onion",385.5,12.8,49.1,14.2,No
Chicken Korma,nonveg,"chicken, cashews, cream",385.8,26.5,9.3,28.5,No
Vegetable Stew (Spicy),vegan,"potato, chili, coconut milk, onion",387.13,9.16,35.71,17.32,No
Matar Paneer (Low Fat),veg,"paneer, peas, low oil",387.61,14.89,19.67,29.84,Yes
Mutton Pepper Fry,nonveg,"mutton, black pepper, onion",389.2,28.4,5.6,27.4,No
Chicken Korma,nonveg,"chicken, cashew, cream",390.1,25.9,6.2,31,No
Chicken Pulao,nonveg,"chicken, rice, ghee, spices",390.7,26.2,45.5,14.6,Yes
Chana Masala (With Coconut),vegan,"chickpeas, coconut, masala",391.58,13.79,32.16,22.64,No
Palak Paneer,veg,"spinach, paneer, spices",392.58,15.91,17.56,28.42,Yes
Paneer Butter Masala (No Onion),veg,"paneer, ghee, tomato, spices",392.88,21.67,35.24,20.06,Yes
Vegetable Biryani (With Brown Rice),veg,"brown rice, vegetables, curd",394.84,10.98,48.62,12.87,Yes
Palak Paneer (With Tomatoes),veg,"spinach, paneer, tomato",394.86,15.92,18.21,28.71,Yes
Palak Paneer (With Garlic),veg,"spinach, paneer, garlic",395.24,15.84,17.66,28.59,Yes
Mutton Pepper Fry,nonveg,"mutton, black pepper, curry leaves",395.7,29.6,5.7,28.3,No
Fish Biryani,nonveg,"fish, basmati rice, fried onion",396.2,27.4,38.5,19.2,No
Rajma (Tandoori),veg,"kidney beans, tomato, spices, ghee",396.75,19.85,48.92,17.65,No
Palak Paneer (Spicy),veg,"spinach, paneer, chili",397.12,16.01,17.82,28.97,Yes
Vegetable Biryani (Low Oil),veg,"rice, veggies, yogurt, minimal oil",397.88,10.27,50.83,12.26,Yes
Vegetable Khichdi (With Curd),veg,"rice, moong dal, vegetables, curd",398.21,11.61,46.13,14.32,Yes
Vegetable Stew (With Coconut Milk),vegan,"potato, carrot, coconut milk, spices",398.24,8.91,36.45,18.73,No
Rajma Masala (With Ghee),veg,"rajma, ghee, masala",398.45,14.58,33.14,24.12,No
Palak Paneer (With Onion),veg,"spinach, paneer, onion",398.47,15.99,18.43,29.12,Yes
Vegetable Biryani (Home Style),veg,"rice, carrot, beans, ghee",398.65,11.22,50.73,15.98,No
Aloo Gobi (Tandoori),veg,"potato, cauliflower, spices, ghee",398.84,15.22,48.75,19.57,No
Biryani (Veg),Veg,"Rice, Vegetables, Spices",400,8,70,9,Yes
Luchi Alur Dom,Veg,"Maida, Potato, Spices",400,9,54,16,No
Moong Dal Halwa,Veg,"Moong dal, Sugar, Ghee",400,8,34,20,No
Moong Dal Halwa,Veg,"Moong dal, Ghee, Sugar",400,8,34,20,No
Palak Paneer (With Fenugreek),veg,"spinach, paneer, fenugreek",400.63,16.08,18.12,29.34,Yes
Matar Paneer (No Onion Garlic),veg,"paneer, peas, tomato",401.26,15.27,19.54,30.62,Yes
Chole (With Roti),veg,"chickpeas, onion, tomato, ghee",402.15,18.05,51.73,23.97,No
Prawn Biryani,nonveg,"prawns, basmati rice, fried onions",402.5,27.2,37.5,18.3,No
Palak Paneer (Tandoori),veg,"spinach, paneer, smoked spices",402.76,16.12,18.01,29.48,Yes
Mutton Kurma,nonveg,"mutton, coconut paste, garam masala",402.8,29.6,7.3,27.5,No
Paneer Butter Masala (Low Fat),veg,"paneer, tomato, low oil",403.21,15.76,21.86,29.54,Yes
Paneer Tikka (Grilled),veg,"paneer, spices, grilled",405.17,19.13,10.72,29.84,No
Palak Paneer (With Corn),veg,"spinach, paneer, sweet corn",407.92,16.23,19.87,30.12,No
Rajma Masala (With Coconut),vegan,"rajma, coconut, tomato",408.91,14.63,33.61,25.05,No
Vegetable Biryani (No Ghee),veg,"rice, veggies, yogurt, spices",409.21,10.56,52.15,13.32,Yes
Pav Bhaji,Veg,"Potato, Vegetables, Butter, Pav",410,9,58,14,No
Mutton Rogan Josh,nonveg,"mutton, yogurt, Kashmiri chili",410.4,29.3,8.2,30.1,No
Mutton Curry (Bengali),nonveg,"mutton, potatoes, mustard oil",410.6,28.4,12.3,30.5,No
Mutton Korma,nonveg,"mutton, yogurt, cashew paste",411.3,29.4,7.2,29.1,No
Palak Paneer (Tandoori),veg,"paneer, spinach, garlic, spices",412.11,21.73,33.21,21.66,No
Toor Dal (With Rice),vegan,"toor dal, rice, tomato, spices",412.46,16.78,54.88,12.15,Yes
Paneer Tikka,veg,"paneer, yogurt, spices",412.86,19.26,11.34,30.12,No
Matar Paneer (Dry),veg,"paneer, peas, dry masala",414.29,15.42,19.83,32.11,No
Vegetable Biryani (No Onion),veg,"rice, mixed veggies, mint, spices",414.39,10.44,52.68,13.89,Yes
Rajma Masala (With Cream),veg,"rajma, cream, spices",415.38,14.76,33.89,25.48,No
Vegetable Khichdi (With Butter),veg,"rice, dal, veggies, butter",415.56,11.92,45.87,16.04,No
Palak Paneer (With Cream),veg,"spinach, paneer, cream",416.37,16.27,18.23,30.89,No
Rajma (With Brown Rice),veg,"rajma, brown rice, spices",417.21,14.24,44.98,14.53,Yes
Rajma (With Roti),veg,"kidney beans, onion, tomato, spices",418.21,21.33,53.78,20.62,No
Paneer Tikka (Spicy),veg,"paneer, chili, yogurt",418.47,19.48,12.05,30.33,No
Vegetable Biryani (Green),veg,"rice, mint, coriander, vegetables",418.76,10.63,52.47,13.97,Yes
Masoor Dal (With Rice),vegan,"masoor dal, rice, garlic, spices",419.39,19.27,53.88,11.28,Yes
Dal Makhani,Veg,"Whole urad, Butter, Cream, Spices",420,15,38,24,No
Misal Pav,Veg,"Matki sprouts, Pav, Onion, Spices",420,12,58,16,Yes
Chicken Chettinad,Nonveg,"Chicken, Coconut, Curry leaves, Spices",420,26,12,22,Yes
Chingri Malai Curry,Nonveg,"Prawns, Coconut milk, Spices",420,28,10,20,Yes
Kachori Sabzi,Veg,"Maida, Dal stuffing, Potato, Spices",420,11,58,15,No
Badam Halwa,Veg,"Almonds, Sugar, Ghee",420,8,32,22,Yes
Chole Kulche,Veg,"Chickpeas, Maida, Onion, Spices",420,14,60,16,No
Badam Halwa,Veg,"Almonds, Sugar, Ghee",420,8,32,22,Yes
Kathi Roll (Chicken),Nonveg,"Paratha, Chicken, Onion, Spices",420,22,48,15,Yes
Paneer Butter Masala (Dry),veg,"paneer, spices, onion, tomato",421.23,17.34,29.52,22.47,No
Vegetable Biryani (Spicy),veg,"rice, vegetables, ghee, spices",422.57,9.84,54.36,17.29,No
Matar Paneer,veg,"paneer, green peas, tomato",423.54,15.66,20.37,33.45,No
Chole (Tandoori),veg,"chickpeas, spices, garlic, tomato",423.71,16.12,49.17,22.84,No
Chicken 65 Biryani,nonveg,"fried chicken, rice, spices",425.3,29.6,42.1,18.5,No
Paneer Tikka (With Bell Peppers),veg,"paneer, bell pepper, yogurt",425.69,19.62,13.48,30.78,No
Paneer Butter Masala (No Onion Garlic),veg,"paneer, tomato, cumin",426.15,15.88,22.13,32.64,Yes
Matar Paneer (Spicy),veg,"paneer, peas, chili",426.18,15.71,20.12,33.67,No
Vegetable Stew (With Rice),vegan,"vegetables, rice, coconut, spices",426.79,9.83,49.78,14.12,No
Vegetable Biryani (Spicy),veg,"rice, chili, mint, curd",427.63,10.81,53.37,14.73,Yes
Paneer Tikka (Tandoori),veg,"paneer, smoked masala",427.66,19.56,12.97,30.96,No
Rajma (With Jeera Rice),veg,"rajma, rice, cumin",428.22,14.01,47.12,15.76,Yes
Vegetable Khichdi (With Paneer),veg,"rice, dal, paneer, vegetables",429.34,15.42,44.59,15.28,Yes
Paneer Tikka (With Mint Chutney),veg,"paneer, mint, chutney",430.23,19.77,13.92,31.06,No
Butter Chicken,nonveg,"chicken, butter, tomato",430.3,27.1,9.4,34.5,No
Matar Paneer (With Fenugreek),veg,"paneer, peas, methi",430.71,15.92,20.64,33.96,Yes
Chole (With Jeera Rice),veg,"chickpeas, rice, cumin",431.52,13.45,49.28,15.87,Yes
Vegetable Biryani (Dum Style),veg,"basmati rice, vegetables, curd, spices",432.74,10.92,54.21,15.43,Yes
Paneer Butter Masala (With Green Peas),veg,"paneer, peas, tomato",433.79,16.05,23.28,33.78,Yes
Paneer Butter Masala (Home Style),veg,"paneer, onion, tomato, spices",434.15,20.39,38.45,23.76,No
Kootu Curry (With Rice),veg,"kootu, steamed rice, coconut",434.89,11.42,48.96,14.73,No
Matar Paneer (Tandoori),veg,"paneer, peas, roasted masala",435.88,15.87,20.43,34.09,No
Matar Paneer (With Cashew),veg,"paneer, peas, cashew",437.35,15.98,20.86,34.21,No
Mutton Biryani,nonveg,"basmati rice, mutton, saffron",438.3,29.1,40.7,22.4,No
Vegetable Biryani (Homestyle),veg,"basmati rice, vegetables, curd",439.42,11.09,53.86,15.61,Yes
Chicken Tikka Kathi Roll,Nonveg,"Paratha, Chicken tikka, Onion, Spices",440,26,48,14,Yes
Paneer Butter Masala (With Fenugreek),veg,"paneer, fenugreek, butter",444.62,16.21,22.74,35.03,No
Mutton Rogan Josh,nonveg,"mutton, yogurt, spices",445.9,27.5,5.2,36.1,No
Vegetable Biryani (With Soy),veg,"rice, soy chunks, spices, curd",446.73,13.92,54.48,15.02,Yes
Vegetable Biryani (With Raita),veg,"rice, curd, vegetables, onion",447.39,12.67,56.21,17.84,No
Matar Paneer (With Cream),veg,"paneer, peas, cream",448.44,16.21,21.35,35.78,No
Kadhi Pakora (With Rice),veg,"gram flour, yogurt, rice, spices",449.78,16.84,55.61,18.92,No
Chole Bhature,Veg,"Chickpeas, Flour, Spices",450,15,60,18,No
Vegetable Stew (With Idiyappam),vegan,"vegetables, idiyappam, coconut milk, curry leaves",452.14,9.78,53.16,15.87,No
Vegetable Biryani (Tandoori),veg,"rice, smoked spices, vegetables",452.17,11.47,54.72,16.02,Yes
Paneer Butter Masala,veg,"paneer, butter, tomato",458.28,16.27,22.45,36.89,No
Vegetable Biryani (With Paneer),veg,"rice, paneer, vegetables, spices",459.21,13.14,53.76,16.84,Yes
Yakhni Pulao,Nonveg,"Mutton, Rice, Spices",460,25,58,14,Yes
Biryani Kolkata,Nonveg,"Rice, Chicken, Potato, Spices",460,22,66,12,Yes
Seekh Kebab Roll,Nonveg,"Paratha, Mutton seekh, Onion, Spices",460,25,50,16,Yes
Mutton Biryani,nonveg,"mutton, basmati rice, spices",460.3,29.6,51.3,17.9,No
Paneer Butter Masala (Spicy),veg,"paneer, chili, butter",462.33,16.38,23.02,37.12,No
Rajma Masala (With Rice),vegan,"kidney beans, rice, spices, onion",468.53,16.98,58.92,14.27,Yes
Paneer Butter Masala (With Roti),veg,"paneer, onion, ghee, tomato",473.79,21.95,49.38,26.51,No
Paneer Butter Masala (With Cashew),veg,"paneer, cashew, butter",475.86,16.79,23.85,38.54,No
Vegetable Biryani (With Paneer),veg,"rice, paneer, spices, tomato",479.21,15.35,57.14,20.19,No
Chicken Biryani,Nonveg,"Rice, Chicken, Spices",480,28,65,14,Yes
Mutton Curry,Nonveg,"Mutton, Onion, Tomato, Spices",480,30,10,26,Yes
Rogan Josh,Nonveg,"Mutton, Tomato, Spices",480,30,14,24,Yes
Paneer Butter Masala (With Cream),veg,"paneer, cream, tomato",481.92,16.94,24.12,39.02,No
Paneer Butter Masala (Spicy),veg,"paneer, tomato, spices, cream",487.6,22.1,40.92,28.31,No
Butter Chicken,Nonveg,"Chicken, Tomato, Cream, Spices",490,30,18,28,No
Kosha Mangsho,Nonveg,"Mutton, Onion, Mustard oil, Spices",500,34,12,26,Yes
Nihari,Nonveg,"Mutton, Spices, Oil",500,32,12,28,No
Chettinad Mutton,Nonveg,"Mutton, Coconut, Curry leaves, Spices",500,32,14,26,Yes
Paneer Butter Masala (Fried),veg,"paneer, ghee, spices, peas",505.33,18.27,43.67,29.44,No
Mutton Biryani,Nonveg,"Rice, Mutton, Spices",550,32,68,20,No
Kanji Drink,Veg,"Carrot, Mustard, Water (fermented)"",80,2,12,0,Yes
Thandai,Veg,Milk", Almonds, Fennel, Poppy seeds," Sugar""",260
Vegetable Pakora,Veg,"Besan, Vegetables", Oil,320,7,28,18
Haleem,Nonveg,"Wheat, Lentils, Mutton", Spices,420,28,40,14
Tomato Sauce,veg,"Tomato, vinegar, sugar, salt",90,1,22,0,Yes
Green Chili Sauce,veg,"Green chili, vinegar, garlic, salt",70,1,15,0,Yes
Schezwan Sauce,veg,"Red chili, garlic, soy sauce, vinegar",120,3,18,4,No
Soy Sauce,veg,"Soybeans, wheat, salt",60,6,8,0,Yes
Mustard Sauce,veg,"Mustard seeds, vinegar, salt",65,2,7,1,Yes
Mayonnaise,veg,"Egg yolk (or veg base), oil, vinegar",200,1,2,20,No
Barbeque Sauce,veg,"Tomato, vinegar, molasses, spices",120,1,25,1,Yes
Mint Chutney (Dip),veg,"Mint, coriander, chili, lemon",40,1,8,0,Yes
Tartar Sauce,veg,"Mayonnaise, pickles, lemon",220,2,5,20,No
Pesto Sauce,veg,"Basil, pine nuts, olive oil, parmesan",250,5,10,20,Yes
Alfredo Sauce,veg,"Cream, butter, garlic, cheese",300,6,12,28,No
Marinara Sauce,veg,"Tomato, garlic, olive oil, basil",150,3,18,8,Yes
Chocolate Cake,veg,"Flour, cocoa, sugar, butter",350,5,50,15,No
Cheesecake,veg,"Cream cheese, sugar, biscuit base",400,6,38,25,No
Brownie,veg,"Chocolate, flour, sugar, butter",380,6,45,18,No
Apple Pie,veg,"Apple, flour, sugar, butter",320,4,48,12,No
Donut,veg,"Flour, sugar, yeast, oil, chocolate glaze",280,5,40,12,No
Croissant,veg,"Flour, butter, yeast, sugar",290,5,33,15,No
Panna Cotta,veg,"Cream, sugar, gelatin, vanilla",310,5,30,18,No
Tiramisu,veg,"Mascarpone, coffee, ladyfingers, cocoa",350,6,40,15,No
Pudding,veg,"Milk, sugar, cornflour, flavoring",250,6,35,9,No
Ice Cream,veg,"Milk, sugar, cream, flavor",280,5,30,15,No
Macaron,veg,"Almond flour, egg white, sugar",150,4,18,7,No
Cupcake,veg,"Flour, sugar, butter, frosting",270,4,40,12,No
Plain Rice,veg,"Rice, water, salt",130,2.5,28,0,Yes
Jeera Rice,veg,"Rice, cumin, ghee",180,3,32,4,Yes
Ghee Rice,veg,"Rice, ghee, spices",210,3,30,8,No
Veg Pulao,veg,"Rice, mixed vegetables, spices",230,4,38,7,Yes
Peas Pulao,veg,"Rice, green peas, cumin",220,5,36,6,Yes
Lemon Rice,veg,"Rice, lemon, curry leaves, chili",200,4,34,5,Yes
Curd Rice,veg,"Rice, curd, green chili, curry leaves",210,6,32,5,Yes
Tomato Rice,veg,"Rice, tomato, chili, spices",210,4,35,5,Yes
Tamarind Rice,veg,"Rice, tamarind, curry leaves, chili",220,4,36,6,Yes
Coconut Rice,veg,"Rice, coconut, curry leaves, chili",240,4,34,8,Yes
Veg Biryani,veg,"Basmati rice, vegetables, spices",280,6,45,8,Yes
Chicken Biryani,nonveg,"Rice, chicken, spices, ghee",320,18,42,10,No
Mutton Biryani,nonveg,"Rice, mutton, spices, ghee",380,20,45,15,No
Egg Biryani,nonveg,"Rice, egg, spices, ghee",300,12,42,9,No
Fish Biryani,nonveg,"Rice, fish, spices, ghee",310,17,43,9,No
Khichdi,veg,"Rice, moong dal, spices, ghee",250,9,38,7,Yes
Curried Fried Rice,veg,"Rice, soy sauce, chili, vegetables",280,7,45,8,No
Moong Dal Tadka,veg,"Moong dal, onion, tomato, spices",180,10,28,4,Yes
Toor Dal Fry,veg,"Toor dal, tomato, onion, spices",200,11,30,5,Yes
Chana Dal Fry,veg,"Chana dal, onion, tomato, spices",220,12,32,6,Yes
Masoor Dal,veg,"Masoor dal, onion, tomato, chili",190,11,28,4,Yes
Dal Makhani,veg,"Urad dal, rajma, butter, cream",300,12,34,14,No
Panchmel Dal,veg,"Moong, toor, masoor, chana, urad dal, spices",250,13,36,7,Yes
Gujarati Dal,veg,"Toor dal, jaggery, kokum, spices",210,11,32,5,Yes
Bengali Cholar Dal,veg,"Chana dal, coconut, spices",230,12,34,6,Yes
Rajasthani Dal Baati Dal,veg,"Moong dal, toor dal, spices, ghee",270,13,36,9,No
Sambhar,veg,"Toor dal, tamarind, vegetables, spices",250,10,38,6,Yes
Rasam,veg,"Tamarind, tomato, toor dal, spices",120,4,22,2,Yes
Dal Palak,veg,"Toor dal, spinach, spices",210,12,30,5,Yes
Methi Dal,veg,"Moong dal, fenugreek leaves, spices",200,11,28,5,Yes
Lauki Chana Dal,veg,"Chana dal, bottle gourd, spices",220,12,30,6,Yes
Malai Kofta,veg,"Paneer, potato, cream, cashew, spices",320,9,28,18,No
Lauki Kofta,veg,"Bottle gourd, gram flour, spices",250,7,22,12,Yes
Nargisi Kofta,nonveg,"Egg, minced mutton, spices",380,20,18,22,No
Shahi Kofta,veg,"Paneer, potato, dry fruits, cream, spices",350,10,30,20,No
Paneer Kofta,veg,"Paneer, potato, chili, spices",300,12,28,15,No
Mutton Kofta Curry,nonveg,"Mutton mince, onion, chili, spices",400,22,20,25,No
Chicken Kofta Curry,nonveg,"Chicken mince, chili, onion, spices",340,20,18,18,No
Fish Kofta,nonveg,"Fish, onion, green chili, spices",320,21,15,14,No
Beetroot Kofta,veg,"Beetroot, potato, spices",260,6,28,10,Yes
Palak Kofta,veg,"Spinach, paneer, potato, spices",270,9,25,11,Yes
Cabbage Kofta,veg,"Cabbage, gram flour, spices",240,6,24,9,Yes
Raw Banana Kofta,veg,"Raw banana, gram flour, spices",250,6,26,10,Yes
Mix Veg Kofta,veg,"Mixed vegetables, paneer, spices",280,8,30,12,Yes
Kashmiri Kofta,nonveg,"Mutton, fennel, ginger, yogurt, spices",390,22,20,24,No
Stuffed Dry Fruit Kofta,veg,"Paneer, khoya, cashew, raisin, cream",370,10,32,19,No
Cucumber,veg,"Cucumber, water, fiber",16,1,4,0,Yes
Tomato,veg,"Tomato, vitamin C, lycopene",18,1,4,0,Yes
Carrot,veg,"Carrot, beta-carotene, fiber",41,1,10,0,Yes
Onion,veg,"Onion, sulfur compounds",40,1,9,0,Yes
Radish,veg,"Radish, vitamin C, fiber",16,1,3,0,Yes
Beetroot,veg,"Beetroot, natural sugar, fiber",43,2,10,0,Yes
Lettuce,veg,"Lettuce, water, fiber",15,1,3,0,Yes
Spinach (raw),veg,"Spinach, iron, vitamin K",23,3,4,0,Yes
Capsicum (Bell Pepper),veg,"Capsicum, vitamin C, fiber",31,1,6,0,Yes
Cabbage,veg,"Cabbage, vitamin C, fiber",25,1,6,0,Yes
Broccoli,veg,"Broccoli, vitamin C, fiber",34,3,6,0,Yes
Cauliflower,veg,"Cauliflower, fiber, antioxidants",25,2,5,0,Yes
Celery,veg,"Celery, water, fiber",16,1,3,0,Yes
Mushroom (button),veg,"Mushroom, vitamin D, fiber",22,3,3,0,Yes
Zucchini,veg,"Zucchini, water, vitamin A",17,1,3,0,Yes
Kale,veg,"Kale, vitamin K, calcium",35,3,7,0,Yes
Spring Onion,veg,"Spring onion, vitamin C, fiber",32,2,7,0,Yes
Turnip,veg,"Turnip, vitamin C, fiber",28,1,6,0,Yes
Sweet Corn (raw),veg,"Corn kernels, natural sugar",86,3,19,1,Yes
Green Peas (raw),veg,"Green peas, vitamin B, fiber",81,5,15,0,Yes
Gobi Manchurian/Cauliflower Sabzi,veg,"Cauliflower, soy sauce, chili",150,5,20,5,No
Chili Paneer,veg,"Paneer, chili sauce, bell pepper",250,15,10,18,No
Veg Manchurian,veg,"Vegetables, soy sauce, chili",200,6,25,8,No 
Paneer Sabzi,veg,"Paneer, tomato, onion, spices",300,14,20,18,No
mixed vegetable Sabzi,veg,"Mixed vegetables, tomato, onion, spices",180,5,30,6,Yes
Aloo Jeera,veg,"Potato, cumin, ghee",220,4,35,7,Yes
Aloo Methi,veg,"Potato, fenugreek leaves, spices",200,4,32,6,Yes
Aloo Palak,veg,"Potato, spinach, spices",210,5,34,6,Yes
Aloo Gobi,veg,"Potato, cauliflower, spices",180,4,30,5,Yes
Aloo Baingan,veg,"Potato, eggplant, spices",190,4,32,5,Yes
Aloo Capsicum,veg,"Potato, bell pepper, spices",200,4,34,6,Yes
Aloo Tamatar,veg,"Potato, tomato, spices",180,4,30,5,Yes
Aloo Beans,veg,"Potato, green beans, spices",190,4,32,5,Yes
Aloo Matar,veg,"Potato, green peas, spices",200,5,34,6,Yes
Aloo Chole,veg,"Potato, chickpeas, spices",220,6,35,7,Yes
Aloo Kurma,veg,"Potato, coconut, spices",250,5,30,10,No
Aloo Bhindi,veg,"Potato, okra, spices",200,4,32,6,Yes
Idli,veg,"Rice, urad dal, water",130,3,28,0,Yes
Medu Vada,veg,"Urad dal, rice flour, spices",150,6,20,5,Yes
Dosa,veg,"Rice, urad dal, water",160,4,30,3,Yes
Masala Dosa,veg,"Rice, urad dal, potato, spices",250,6,45,7,No
Rava Dosa,veg,"Semolina, rice flour, spices",180,4,35,4,Yes
Onion Dosa,veg,"Rice, urad dal, onion, spices",200,5,38,5,Yes
Paper Dosa,veg,"Rice, urad dal, water",140,3,28,0,Yes
Set Dosa,veg,"Rice, urad dal, water",150,4,30,2,Yes